time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-01-04T18:08:58.441Z,37.1167,-116.2763,6.2,-0.3,ml,6,129.54,0.104,0.0748,nn,nn00433335,2018-06-29T22:59:53.440Z,"48 km ENE of Beatty, Nevada",earthquake,,6.7,0.55,3,reviewed,nn,nn
2014-01-04T17:56:59.170Z,-13.1054,167.0546,209.02,4.8,mb,,61,4.774,0.67,us,usc000lww0,2014-03-07T00:25:58.000Z,"100 km NNW of Sola, Vanuatu",earthquake,,5,0.056,102,reviewed,us,us
2014-01-04T17:54:15.554Z,63.4789,-147.7153,8.7,1,ml,,,,0.45,ak,ak0146wld4j,2019-05-20T22:46:39.171Z,"62 km E of Cantwell, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2014-01-04T17:50:38.202Z,39.3682,-120.1714,5.9,-0.4,ml,3,275.25,0.115,0.0004,nn,nn00433332,2018-06-29T22:59:53.358Z,"4 km NNE of Truckee, California",earthquake,,31.3,0,1,reviewed,nn,nn
2014-01-04T17:46:28.040Z,51.702,-175.673,54,2.7,ml,,,,0.43,us,usc000lz73,2019-05-14T01:50:40.402Z,"69 km ESE of Adak, Alaska",earthquake,,9.9,,26,reviewed,ak,ak
2014-01-04T17:46:08.740Z,38.335,75.3575,126.82,4.6,mb,,172,3.118,0.64,us,usc000lx2s,2014-03-07T00:25:58.000Z,"123 km E of Murghob, Tajikistan",earthquake,,14.2,0.316,3,reviewed,us,us
2014-01-04T17:37:53.390Z,37.5016667,-118.8776667,2.639,0.37,md,6,173,0.0964,0.03,nc,nc72136136,2017-02-02T19:49:57.347Z,"15 km WSW of Aspen Springs, California",earthquake,2.05,8.18,0.266,6,reviewed,nc,nc
2014-01-04T17:36:11.013Z,62.4533,-148.2845,44.5,1.4,ml,,,,0.38,ak,ak0146whhvx,2019-05-20T22:46:38.777Z,"73 km N of Chickaloon, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2014-01-04T17:34:29.320Z,35.1491,141.7248,36.78,4.4,mb,,168,2.574,0.4,us,usb000m4r0,2014-03-07T00:25:58.000Z,"103 km SE of Hasaki, Japan",earthquake,,10.8,0.218,8,reviewed,us,us
2014-01-04T17:27:01.640Z,38.824501,-122.8259964,2.141,0.89,md,9,91,0.007207,0.01,nc,nc72136131,2017-02-02T19:49:48.997Z,"8 km W of Cobb, California",earthquake,0.34,0.62,,1,automatic,nc,nc
2014-01-04T17:26:30.440Z,38.8139992,-122.8205032,3.692,1.08,md,9,96,0.008108,0.03,nc,nc72136126,2017-02-02T19:49:40.676Z,"8 km W of Cobb, California",earthquake,0.61,1.33,0.05,2,automatic,nc,nc
